,node_pair,transaction_num,min_timestamp,max_timestamp,time_interval,transaction_frequency
91,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xa2f0f37df7682e082a64a285829b0ee1f018559f,20177,1439174352,1523582862,84408510,20.653045528229324
92,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x08223ac8074449e3bf35aae93d1636d2bb479d8c,21034,1439174352,1576204153,137029801,13.262353055595549
93,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xc44b2097aedef0a5b7e9ed78fb6368bde3333eb5,20128,1439174352,1470264329,31089977,55.936329576570614
94,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x7f8091007f8033e13787c009f69d6e14d358eae7,19995,1439174352,1470264329,31089977,55.56671849580332
95,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xa406138aa3fea5a7153d45af8ac39caf4d11c5e8,20117,1439174352,1470264329,31089977,55.90576023906355
96,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x43002b80a2b2f5d40d1c5ba0cc59b35b4926ac18,19998,1439174352,1523408984,84234632,20.51207631559428
97,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x770e2de60a56861f14ff290b17748ce8f576aa8f,22229,1439174352,1494969594,55795242,34.422031900139444
98,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x3ad34397b76d1b2db29204bc5011117a37a3f7dd,20006,1439174352,1523406924,84232572,20.520783812703712
99,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xb2b31e84127a377ad448a86b3fd32c0a0843eb1f,20007,1439174352,1470264329,31089977,55.60006686399286
100,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x61108460182a8be9f76a45582c8b6b89ae222952,19994,1439174352,1470264329,31089977,55.56393946512086
101,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x38f75cb26b09ccb3ea0d03a920d58aa678d80b4b,19994,1439174352,1470264329,31089977,55.56393946512086
102,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xab265e840933431739e8be901b21785aab7d28be,20021,1438925080,1481536067,42610987,40.59550181271323
103,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe87edfdb05ca2f0d3102c54726f0854ce44144ed,19996,1439174352,1470264329,31089977,55.56949752648579
104,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xdd9705a4a2a661729adbfe2f72e272eafcad6b55,20023,1439174352,1470264329,31089977,55.644531354912225
105,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x900a0a6428078594b201108ebf8f8a8446e86fba,20969,1439174352,1562681703,123507351,14.668937397904356
106,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x1de2366bf5914821c2d7b12ea46697a86d0ae4c9,20002,1439174352,1470264329,31089977,55.58617171058055
107,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x2660299c07076aeb9cef872a41eaf75e4c16020d,20301,1439174352,1512234667,73060315,24.00764902259181
108,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x0d187496799a43e7c43e4324026e32d1dc80d8e4,20038,1439174352,1523382395,84208043,20.559594289585853
109,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xfd6b6e67d15931706d607e2358a1b0aa05f8e256,21585,1439174352,1509631443,70457091,26.469216561892967
110,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x8cdc27bf95732811ebd9b0a9e7e957a30c4582ac,20428,1439174352,1470264329,31089977,56.77003878130885
111,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x0fca66b29fd596f59398744163e3eb9c323e5133,21408,1439174352,1551096633,111922281,16.526210719383034
112,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x62b0559efe3a073edfe78bbe7cb491a6c65f0806,20261,1439174352,1513186194,74011842,23.652301478998453
113,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x434eb5ad1a8d64bea8a9b24c03a7ca7bf7defcf2,20017,1439174352,1470264329,31089977,55.627857170817464
114,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x11cc6c9890859d553704a586ed4c9189bbc344f8,19994,1439174352,1470264329,31089977,55.56393946512086
115,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe5cd922132641cf77d8a95de3f3b335ee6d54d71,20056,1439079466,1496424379,57344913,30.217822459683564
116,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x3a3a7cdfbbd0d889e44ce9f87515a2c989e51a49,20986,1439174352,1502672717,63498365,28.554914760403676
117,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x48ffc2899b23beea23dce1211619962c21e08046,20001,1439174352,1496739517,57565165,30.019655116075842
118,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x6a8cc233e14f874983bb2f37d1de706f6910ef0b,24401,1439174352,1541450032,102275680,20.613369669113908
119,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x9927939864218a222e4376e689289531e3fb9569,20458,1439174352,1481177483,42003131,42.081891466614714
120,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xfa5f6b82a053710a6b8e09e4611a72ff8db51f83,20047,1439174352,1470264329,31089977,55.71122809129129
121,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x037658e13e294088cfd16a534b9c1f3b37282eb2,20516,1439174352,1518802990,79628638,22.260614328226985
122,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xb4c8a15086d7c2e2aa5506ff51e34e3e23d053a7,21759,1439174352,1504402006,65227654,28.82178776504824
123,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x3a4cc071e426cffba54c267391e401e820a5e472,21900,1439174352,1502405189,63230837,29.924639460331672
124,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xe3d2ec7b0f0dcb4a46cba8df3e271f539f07b9f6,20247,1439174352,1470264329,31089977,56.26703422778344
125,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x8aa50dfc95ab047128ccdc6af4ba2ddba8d0a874,20813,1439174352,1543532206,104357854,17.231508037717987
126,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xeeb66afe554366d685c7832c6c93727ba577378d,20017,1439174352,1470264329,31089977,55.627857170817464
127,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x60a175bb691fee8557a7b6d8efc9e49889486f41,20288,1439174352,1470264329,31089977,56.380974485764334
128,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0xf2711f78854d3b5ce29fa3c550a9328d7df40706,20068,1439174352,1470264329,31089977,55.76958773562296
129,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x2b199fd1783532c6688a8cd7aabddc27034d110a,20006,1439174352,1470264329,31089977,55.597287833310396
130,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x6c98db776a9d494264ee160ef60d52b4474c7845,21765,1439174352,1511681625,72507273,25.935274106916147
131,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x1c5882903db400d54a042ff314258d9080d1c158,19996,1439174352,1523393547,84219195,20.513784298223225
132,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x9258e9b67440f712b7ae120cb8233badcb1845ea,20105,1439174352,1524256205,85081853,20.416480586053996
133,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98_0x1b86658dac8d410761dc2623e6d2e736aa3f4c3f,19997,1439174352,1523393382,84219030,20.514850384764582
